ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
ndi 	K- 		ny 		ndi K- ny . Kuti ndi kumira nokukasira pamusana pokuti pane chakudzivirira, zvokuti hauchakwanisi kuenda mberi. Kuti ndi kusvika kumagumo kwezvinenge zvichiitika.
ndikinya 	KKD 		ny 		ndikinya KKD ny . Kuti ndikinya kupa mumwe munhu chinhu, asi mumwoyo mako usingadi kumupa.
ndimu 	KD 		ny 		ndimu KD ny . Kuti ndimu kuparadzana nekukasika kwevanhu, mhuka kana zvinhu zvakawanda. Shiri dzakanga dziri pazviyo dzakabva dzati ndimu pakarira mugwendere.
ngwangwangwa 	D- 		ny 		ngwangwangwa D- ny . Kana chivharo chegaba chakati ngwangwangwa chinenge chakasumukira, chisina kuvhara zvakasimba. chanjama . Kuti ngwangwangwa kusimudza nzeve kwemhuka yakakura senzou.
ngwanja 	D- 		ny 		ngwanja D- ny . Kana mudziyo wakati ngwanja unenge waraswa nokuda kokuti wakasakara. Kuti ngwanja kudonha kwesvinga rehuni. Kuti ngwanja kudonha pasi kunoita munhu kana mhuka, nokuda kokuneta kana kupera simba mumakumbo.
ngwe-e 	D 		ny 		ngwe-e D ny . Kana upfu kana kuti hembe yakati ngwe-e inenge yakachena, ruvara rwayo rwakanyatsobuda. Kana kunze kwati ngwe-e kunenge kwachena.
nyamu 	D- 		ny 		nyamu D- ny . Kuti nyamu kusimuka nekukasika. Kuti nyamu kusimudza chinhu nekukasika. Hari yenyama yakanzi nyamu pamoto.
ndindindi 	D- 		ny 		ndindindi D- ny . Kuti ndindindi karuzha kanonzwikwa nechekure kure kengoma, pfuti kana kunaya kwemvura.
ndindindi 	K- 		ny 		ndindindi K- ny . Kuti ndindindi kuzvimba kwechinhu chazadzwa nezvimwe zvinhu, sezvingaite dumbu razadzwa nechikafu. Kuti ndindindi kuzara kunoita imba nevanhu vanenege vakaungana, panzvimbo inenge chechi kana pamba pane rufu.
ndiriri 	K- 		ny 		ndiriri K- ny . Kuti ndiriri kumira kwechinhu chinofamba kana kutenderera, uye kana chava kumira mabhureki acho anenge achirira. Rori yakasvikoti ndiriri pachiteshi, vanhu ndokudzika.
ndo ndo ndo 	D- 		ny 		ndo ndo ndo D- ny . Uku kunyura kunoita chinhu mumadhaka kana mumvura.
ndo-o 	D- 		ny 		ndo-o D- ny . Kuti ndo-o kusviba kweganda kana chimwe chinhu kwakanyanya. Musikana uya wekushandisa mishonga yekutsvukisa ganda makore aya mazuvaano asviba kuti ndo-o. Kuti ndo-o kunyura kana kuparara kwechinhu. Saka wati hembe yangu yongorova zvayo kuti ndo-o here?
ngwenjere 	K- 		ny 		ngwenjere K- ny . Kana mudziyo wesimbi kana kuti simbi ikati ngwenjere , inenge yaita ruzha nokuda kokudonhera pasi, kana kuti yabondereswa iyo pachayo.
ngwere 	KD 		ny 		ngwere KD ny . Kuti ngwere kuchena kunenge kwakaita chinhu chakaita seupfu.
ngwerengwere 	K- 		ny 		ngwerengwere K- ny . Kuti ngwerengwere kurira kwebhera kana kuti simbi inenge ichirohwa-rohwa.
ngwi-i 	K- 		ny 		ngwi-i K- ny . Kuti ngwi-i kudhuruma kunoita mota kana dhege painenge ichifamba.
ngwiriri 	K- 		ny 		ngwiriri K- ny . Kuti ngwiriri kundeya zvine simba, kana kuti kumhanya zvikuru. mvi-i .
nyandu 	D- 		ny 		nyandu D- ny . Kuti nyandu kumira kunoita vhudzi remunhu kana richinge risina kukamwa, kana kuti wabatwa nokutya. Pandakapfuura nepamakuva usiku, ndakanzwa vhudzi rangu kuti nyandu nemusoro wangu. Kuti nyandu kukwakuka kunoita munhu paambenge agere.
mwanda 	KD 		ny 		mwanda KD ny . Kuti mwanda kupararira kwezvinhu kana kwevanhu panzvimbo. Vanhu vakati mwanda pamuchato, apo vakange vashanyirwa nemukuze wenyuchi.
ndonye 	KD 		ny 		ndonye KD ny . Kana ukati ndonye unenge wawira pasi uchiita zvokutanga nomusoro.
nha 	D 		ny 		nha D ny . Kana munhu achiti nha anenge achitora kasadza kadiki, achikakanda pamusoro pemukonde wesadza. Amai vakanga vava kuda kuti mwanakomana vawo achiroora, vaiti vakamubikira sadza, voti kamwe kasadza nha pamusoro wemukonde wake. Kuti nha kutora nokukasika, zvinenge zvine simba mukati. Akati nha demo, ndokupinda musango.
nyangadu 	KKD 		ny 		nyangadu KKD ny . Kana chinhu chakaita godo chati nyangadu , chinenge chapera ugodo hwacho, sezvinoita shuga yaiswa mumvura.
nyangara 	K- 		ny 		nyangara K- ny . Kuti nyangara kushaya kuoneka kwechinhu chambenge chiripo. Pasina nenguva, makore akangoti nyangara mudenga. hwa-a .
nyangata 	D- 		ny 		nyangata D- ny . Kuti nyangata kupfava kwechinhu changa chakaomarara. Dehwe rakasara rachiti nyangata rabva mukusukutwa nemunyu nemvura.
nyange 	DK 		ny 		nyange DK ny . Kuti nyange kumwaya zvishomashoma. Mhiripiri inoda kungonzi nyange nokuti ikawandisa inovavisa chikafu. Kuti nyange kunanzva dovi kana bota kubva pamuromo pomucheche.
-mepfu 	KD 		ny 		-mepfu mopfo KD ny . Kuti mepfu kudimbura kana kuruma chekudya chakanyorovera. Akati mepfu mbambaira yaive yanyatsoibviswa zvakanaka nambuya, achibva anzwa parere mwoyo. mepfenyu .
mhemha mhemha 	KD+ 		ny 		mhemha mhemha KD+ ny . Kuti mhemha mhemha kufamba-famba panzvimbo nokutarisa-tarisa, sezvinoita munhu anenge arasa mari.
mheya mheya 	DK+ 		ny 		mheya mheya DK+ ny . Kana munhu achifamba achiti mheya mheya anenge achipiringisha makumbo, achinge anoda kudonha, kazhinji sezvinoitwa nemunhu akadhakwa. dzera dzera, pera pera .
mhi 	K 		ny 		mhi K ny . Kuti mhi kusimudza chinhu. bidzu, mhidzu . Kuti mhi kungonakura chinhu chichibva pasi zvine simba.
miningu miningu 	KKD+ 		ny 		miningu miningu KKD+ ny . Kuti miningu miningu kuruka kunoratidza unyanzvi.
mo-o 	K 		ny 		mo-o K ny . Kuti mo-o kuita ruzha kwenyuchi dzakawanda. nzi-i .
mokoto 	D- 		ny 		mokoto D- ny . Kuti mokoto kuparara kwechinhu chaiswa mumvura. Kuti mokoto kuyerera kwemisodzi kana kwejecha.
-momote 	D 		ny 		-momote D ny . Kuti momote kuunganira chinhu kwevanhu vakawanda.
mone 	D- 		ny 		mone D- ny . Kuti mone kuvhiririka kunoita utsi kana guruva zvichisairirwa nemhepo zvichienda mudenga. Chamupupuri chakati mone pachivanze.
mu-u 	K 		ny 		mu-u mhu-u K ny . Kuti mu-u kuchema kunoita mombe.
mbu-u 	K 		ny 		mbu-u K ny . Kana hembe ikawachwa ikati mbu-u inenge yachena chaizvo.
mbwa mbwa mbwa 	D- 		ny 		mbwa mbwa mbwa D- ny . Kuti mbwa mbwa mbwa kudzima kunoita moto wanga uchimbopfuta marimi achienda mudenga. mbo mbo mbo .
mbwandi 	KD 		ny 		mbwandi KD ny . Kana munhukadzi achinzi ati mbwandi hembe kana achigara anenge achinzi anyatsoivharidzira kuti asaonekwe zviri mukati.
memete 	D- 		ny 		memete momote D- ny . Kuti memete kuunganira kunoita nyuchi kana masvosve pane chekudya kana pamudziyo une tsvigiri. memetere .
simu 	KD 		ny 		simu KD ny . Kuti simu kukasira kusimuka. Vanhu pavakaona nyoka vakabva vati simu.
tetenu 	KKD 		ny 		tetenu KKD ny . Kuti tetenu kudya zvinhu zvakaoma, uchiita zvokubanda.
tetsu 	KD 		ny 		tetsu KD ny . Kuti tetsu kubudisa zvakawanda nhambo imwe chete. Nguruve yedu yakati tetsu tuvana gumi notuviri.
teu 	KD 		ny 		teu KD ny . Kuti teu kubuda kunoita mvura mainenge yakachengeterwa, ichienda pasi. Kuti teu kunyura kunoita zuva seri kwemakomo. pote .
rukushu 	D- 		ny 		rukushu D- ny . Kuti rukushu kurara wakaneta, muviri usina simba.
rukutu 	D- 		ny 		rukutu D- ny . Kuti rukutu kushaya simba mumuviri, nokuda kokuneta kana kokurwara.
sengu 	D- 		ny 		sengu D- ny . Kuti sengu kukamura hundi kubva pambeu.
tiba 	KD 		ny 		tiba KD ny . Kuti tiba kuwa nemberi kana nekumeso. Kuti tiba kuvhara chimwe chinhu.
shadabu 	KKD 		ny 		shadabu KKD ny . Kuti shadabu kugara munhu wakaparadzanisa makumbo zvisina unhu.
shaku 	KD 		ny 		shaku KD ny . Kana chinhu chati shaku chinenge chazara zvokutorasikira. Mugoro wakanga wakati shaku nechibage. Kuti shaku kuwa nomusana.
swi-i 	K 		ny 		swi-i K ny . Kuti swi-i kuchema kunoita mbeva kana makonzo.
switi 	KD 		ny 		switi KD ny . Kuti switi kuwira pasi kunoita nhopi kana bota.
t 	KD 		nzv 		t KD nzv . Iyi inzvanyira inodaidzwa ichinzi tii , iri pakati pa esi na u-u mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
ta-a 	D 		ny 		ta-a D ny . Kuti ta-a kuzara kusvika pamusoro. Mugomo wakati ta-a nemasvusvu. pfacha .
tabvu 	D- 		ny 		tabvu D- ny . tomu .
taka taka 	D- 		ny 		taka taka D- ny . Kuti taka taka kupedza zuva kana nguva yakareba muchiita chimwe chinhu. Zuva rakati taka taka, vanhu vachipura zviyo.
takarasima 	D- 		ny 		takarasima D- ny . Kuti takarasima kuramba uchingoita basa kana zvimwewo kwenguva yakareba, uchiita sokunge hauchadi kuregera. Kuti takarasima kumira panzvimbo imwe munhu asingambozungunyuki zvachose. sipiti .
taku 	D- 		ny 		taku D- ny . Kuti taku kusimudza chimwe chinhu kubva pasi, chichiiswa pakakwirira.
shanya 	DK 		ny 		shanya DK ny . Kana munhu akati shanya , anenge akarara zvinoratidza kuneta kana kurwadziwa. Kuti shanya kudonha kwechinhu chisingakwanisi kumira choga. Kuti shanya kupidiguka-pidiguka kwemunhu kana mhuka.
shapu 	KD 		ny 		shapu KD ny . Kuti shapu kugeza uchikasika. Kuti shapu kuenda nokukasika. Kuti shapu kutsvaira pasi pane mvura.
tanana 	K- 		ny 		tanana K- ny . Kuti tanana kumira munhu asingazungunuki. sipiti, twi .
sonho 	KD 		ny 		sonho KD ny . Kuti sonho kuwa uchibva pakakwirira zvikuru.
tananga 	KKD 		ny 		tananga KKD ny . Kuti tananga kumira wakaparadzanisa makumbo, usingadi kutsika munhu kana zvimwewo zviri pasi pako.
tanangu 	KKD 		ny 		tanangu KKD ny . Kuti tanangu kubvisa chinhu chinenge chisingadiwi panzvimbo, kana kuti chinenge chakadzivirira.
tanarara 	D- 		ny 		tanarara D- ny . Kuti tanarara kumira wakarurama kana kuparadzanisa makumbo zvishoma.
tandabvu tandabvu 	D- 		ny 		tandabvu tandabvu D- ny . Kuti tandabvu tandabva kufamba kwemhuka huru, inokanda nhambwe zvishoma nezvishoma.
tande 	D_ 		ny 		tande D_ ny . Kuti tande kusimuka uchibva wananga kwaunoenda. Pavakanzwa mhere kuti turii, VaMuchakata vakabva vasumuka, ndokuti tande vakanagako.
sudzunu 	KKD 		ny 		sudzunu KKD ny . Kuti sudzunu kusununguka kwezvinhu zvanga zvakasungana. svudzunu, sukunu .
suku 	D- 		ny 		suku D- ny . Kuti suku kusairira chimwe chinhu kwakadaro uko, usina hanya nazvo kana kuti wakatsamwa. Kuti suku kuregedza chinhu changa chakambobatwa kana kusungirwa. Kana imbwa iyi ndikaiti suku, hapana anopamira ipapo. sunde, supfu .
tanyarara 	K- 		ny 		tanyarara K- ny . Kuti tanyarara kugara kana kuita manhede, pakati pamakumbo pakavhurwa. -dhanyarara .
tapa 	DK 		ny 		tapa DK ny . Kuti tapa kudonha kunoita sadza kana madhaka.
shi 	K 		ny 		shi K ny . Kuti shi kusunga chinhu zvakasimba. Mukadzi akasunga chimwanda cheuswa kuti shi.
shidu 	KD 		ny 		shidu KD ny . Kana chinhu chanzi shidu kusungwa, chinenge chasungwa zvakasimba. Kana chinhu chanzi shidu , chinenge charohwa zvakasimba. Kuti shidu kudimbuka kwetambo nekurumwa kana kutemwa.
tapitapi 	KDKD 		ny 		tapitapi KDKD ny . Kuti tapitapi kuzipa parurimi kunoita shuga kana zvimwewo.
taramu 	KKD 		ny 		taramu KKD ny . Kuti taramu kusudurukira mumashure.
sununu sununu 	D- 		ny 		sununu sununu D- ny . Kuti sununu sununu kungofamba munhu asingatarisi kwaanoenda.
rwi 	D 		ny 		rwi D ny . Kuti rwi kuunganidza zvinhu panhu pamwe, nguva imwe. Akati huni pamadziro rwi.
shishishi 	K- 		ny 		shishishi K- ny . Kuti shishishi kuomarara kwechinhu changa chakapfava sesadza. Kuti shishishi kusunga zvakasimba.
shishiva 	KKD 		ny 		shishiva KKD ny . Kuti shishiva kuramba wakangoti nangananga nechimwe chinhu, usingadi kusiyana nacho.
shodo 	KD 		ny 		shodo KD ny . Kuti shodo kuzadza saki zvakanyanya. shutu . Kuti shodo kukuvara panzvimbo dzomuviri dzinosangana mabhonzo, wakanganisa kutsika kana kuti watsikirirwa.
shokoshoko 	D- 		ny 		shokoshoko D- ny . Kuti shokoshoko ruzha runoitwa nenzungu dzisati dzamenywa.
tare 	D- 		ny 		tare D- ny . Kuti tare kuzvimbirira kwetsinga kana kururama kwemutsetse. Mheni yakati tare yakacheka denga.
tari 	KD 		ny 		tari KD ny . Kuti tari kumedza kudya usina kutsenga.
tasa 	D- 		ny 		tasa D- ny . Kuti tasa kufa pakare pakare. N'ombe yakapfurwa mugotsi ndokubva yangoti dhi, ndiye tasa. Kuti tasa kufamba munhu akarurama, asingatsauki. Kuti tasa kururama kwedanda kana zvimwewo. Tambo dzemagetsi dzinenge dzakati tasa kururama. twasa .
tasvu 	KD 		ny 		tasvu KD ny . Kuti tusvu kukweva gwenzi kana hunde yechibage kubva muvhu, zvisina simba.
tatabvu 	KKD 		ny 		tatabvu KKD ny . Kuti tatabvu kudambura chinhu uchishandisa mazino. Kachembere kakati kati tatabvu nyama namazino, ikati yaramba.
suruva 	KKD 		ny 		suruva KKD ny . Kuti suruva kunzwa usina mufaro.
sva-a 	D 		ny 		sva-a D ny . Kuti sva-a kudzinga shiri kana mbudzi, kuti dzibve padzisingadiwi.
s 	KD 		nzv 		s KD nzv . Iyi inzvanyira inodaidzwa ichinzi esi , inowanikwa pakati pa ara na tii mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
sadagu 	KKD 		ny 		sadagu KKD ny . Kuti sadagu kuva neimwe nhengo yakapfuurira mberi kudarika dzimwe. Dumbu remukadzi ane nhumbu rakati sadagu. sadu .
sadama 	KKD 		ny 		sadama KKD ny . Kuti sadama kuva nemusoro wakarerekera kumashure, dumbu richienda mberi.
tatara tatara 	D- 		ny 		tatara tatara D- ny . Kuti tatara tatara kudzedzereka nokuda kokutakura zvinorema, kana kuti nokuda kokutadza kutsika zvakanaka. Sekuru vakaresva kutsika, ndokuti tatara tatara vachiinda kwakadaro.
tatata 	D- 		ny 		tatata D- ny . Kuti tatata kuwaridza zvinhu pazuva kuti zviome.
tatya 	KD 		ny 		tatya KD ny . Kuti tatya kurara wakazvambarara pasi, maoko nemakumbo ari kure nomuviri.
tau tau 	KD+ 		ny 		tau tau KD+ ny . Kuti tau tau kuuruka uruka.
svaku 	KD 		ny 		svaku KD ny . Kuti svaku kubuda mumba kana mumwena nokukasika. svati, hovo, dhu .
svata 	D- 		ny 		svata D- ny . Kuti svata kupinda mukati kwechinhu chiri kupera mweya.
svatu 	DK 		ny 		svatu DK ny . Kuti svatu kudauka kwechinhu, sezvinoita bota riri kukwata.
sai sai 	D- 		ny 		sai sai D- ny . Kuti sai sai kuzvimba kwenhengo yemuviri. Akarohwa nezvibhakera kumeso kukati sai sai. Kuti sai sai kuzara nepamusoro kunenge kwakaita rwizi.
shozhono 	KKD 		ny 		shozhono KKD ny . Kuti shozhono kutendeuka nomuviri wose uchitarisa kwawabva.
tazu 	KD 		ny 		tazu KD ny . Kuti tazu kuzara kwedumbu zvokuzvimbirwa. Ukadya mutakura wenyemba, unorara dumbu rangoti tazu. Kuti tazu kuvhura maziso zvokushamisika.
tebve 	DK 		ny 		tebve DK ny . Kuti tebve kunyika munwe makanyorovera.
tedegu tedegu 	DDK+ 		ny 		tedegu tedegu DDK+ ny . Kuti tedegu tedegu kufamba wakaisa dumbu mberi.
sve-e 	K- 		ny 		sve-e K- ny . Kana munhu achinzi sve-e , anenge achishoropodzwa nokuda kokukanganisa kwaanenge aita.
svetu 	KD 		ny 		svetu KD ny . Kuti svetu kutomuka munhu achikwira mudenga. Paakasvika pamugero une mvura, akati svetu achibva anomira mhiri.
samhu 	D- 		ny 		samhu D- ny . Kuti samhu kukura kwechinhu nokukurumidza. Mwana anodya achiguta anoti samhu kukura.
shura 	K- 		ny 		shura K- ny . Kuti shura karuzha kanoitika munhu akarohwa mbama yakasimba.
tefu 	D- 		ny 		tefu tepfu D- ny . Kuti tefu kunyorovera zvinoita pamubhedha pokurara. dhefu .
teka teka 	DK+ 		ny 		teka teka DK+ ny . Kuti teka teka kufamba kokutamburira, komunhu akatakura zvinorema. tsega tsega .
teke 	K- 		ny 		teke K- ny . Kuti teke kuchera mvura nechimbichimbi.
tekenye tekenye 	D- 		ny 		tekenye tekenye D- ny . Kuti tekenye tekenye kufamba kunoita honye.
sandara 	D- 		ny 		sandara D- ny . Kuti sandara kuenzana kunenge kwakaita pasi kana pamwewo. Kuti sandara kuzvimba kweparohwa kana pakuvadziwa. Akarumwa nenyuchi, kumeso kukati sandara. saisai .
sandu 	D- 		ny 		sandu D- ny . Kuti sandu kuchinja zvawanga uchitaura kana kuita. Akambobvuma kuti akaba akabva atizve sandu, oramba.
shutu 	D- 		ny 		shutu D- ny . Kuti shutu kunyarara munhu akatsamwa, zvokuti anenge asingadi zvokutaudzwa. Murume akanonoka kusvika pamba, ndokuwana mudzima akangoti shutu. Kuti shutu kuzara kwezvinhu, mungava musaga kana pamwewo.
tekerere 	K- 		ny 		tekerere K- ny . Kuti tekerere kuzvimba kumativi kwechinhu chinenge chakazara, sezvingaita dumbu remombe yakaguta.
tekeshe 	D- 		ny 		tekeshe D- ny . Kuti tekeshe kufara zvisina hanya kana unhu. Kuti tekeshe kuwanda nokukura kwenzvimbo. Kare zvinonzi vanhu vaigara vakati tekeshe nenyika, pamadiro.
tekeshu 	KKD 		ny 		tekeshu KKD ny . Kuti tekeshu kurova zvinorwadza, zvichikuvadza zvikuru.
tema 	KD 		ny 		tema KD ny . Kuti tema kutiza uchimhanya zvikuru. svati, hovo .
temba temba 	D- 		ny 		temba temba D- ny . Kuti temba temba kusimudza chinhu chinorema kunenge kuchiitwa navanhu vakawanda.
shwa shwa shwa 	K- 		ny 		shwa shwa shwa K- ny . Kuti shwa shwa shwa karuzha kanoitika mukanwa kana munhu achitsenga maputi, kana zvimwe zvakadaro.
shwakata 	D 		ny 		shwakata D ny . Kuti shwakata ruzha runoitwa nemashizha akaoma kana waatsika.
shwau 	D- 		ny 		shwau D- ny . Kuti shwau kuoma zvakanyanya kwemiti kana zvimwewo zvinembenge zviri zvinyoro. Mvura payakangoenda, chibage chakasara chooma kuti shwau.
shwe 	D 		ny 		shwe D ny . Kuti shwe kusunga zvine simba. shwi-i .
shweta shweta 	KD+ 		ny 		shweta shweta KD+ ny . Kuti shweta shweta kufamba kwemunhu anenge asina kupfeka. Kuti shwete shwete kufamba komunhu akapfeka hembe dzinobata.
tende 	D 		ny 		tende D ny . Kuti tende kugara pasi.
svunguru 	K 		ny 		svunguru K ny . Kuti svunguru kurara munhu asina kupfeka.
shwi-i 	K 		ny 		shwi-i K ny . Kuti shwi-i kuzara zvakanyanya. Bhazi rakanga rakati shwi-i kuzara. Kuti shwi-i kubopa mabhureki nokukurumidza.
si 	K 		ny 		si K ny . Kuti si kutandanisa wakazvipira, uchida kubata chauri kutandanisa chacho.
tenene 	K- 		ny 		tenene K- ny . Kuti tenene kugara usina hanya namagariro awakaita.
tepe 	D- 		ny 		tepe D- ny . Kuti tepe kurembedza chinhu, zvokuti chinosara chichitamba kwachinenge chakatarisa pasi nako.
tepfu 	D- 		ny 		tepfu D- ny . Kuti tepfu kutefetera kunoita chinhu chakaita semubhedha.
teshe 	D- 		ny 		teshe D- ny . Kuti teshe kumera zvokuzadza nzvimbo yose. Kuti teshe kungogara pasi, munhu asina kana basa raari kuita. Kuti teshe kugara pasi zvisina hanya kuti pakachena here kana kuti kwete.
tesva tesva 	KD+ 		ny 		tesva tesva KD+ ny . Kuti tesva tesva kufamba panzvimbo pasingaiti kuti uvepo nenguva dzisingatarisirwi, uye uchinge munhu asina chinangwa.
rare 	D- 		ny 		rare D- ny . Kuti rare kutevedza zvinhu neurongwa hwazvo. Kuti rare kuzara panzvimbo zvekupasanganisa. Vana vakati rare mumunda vachichera makurwe.
ratata 	D- 		ny 		ratata D- ny . Kuti ratata kuisa pachena zvinhu zvinofanira kunge zvakachengetedzwa. Kuti ratata kurara pachena, usina chawakafuka.
pau 	KD 		ny 		pau KD ny . Kuti pau kudimbura bazi romuti nokukurumidza.
pfurupfutu 	D- 		ny 		pfurupfutu D- ny . Kana chinhu chichiti pfurupfutu muviri wacho unenge uchigwinha, sezvinoita huku yachekwa nebanga yoda kufa, kana munhu abatwa nezvipusha.
pfutunu 	D- 		ny 		pfutunu D- ny . Kana chinhu chichiti pfutunu , chinenge chichiregedzeka pachanga chakabatira kana kusungwa. Waya kana tambo ikati pfutunu inenge yasununguka payanga yakasunga.
nyn'urududu 	K- 		ny 		nyn'urududu nyn'orododo K- ny . Kuti nyn'urududu kunyura kusvika muzasi memvura iri mudziva, muduhwino, dhamu kana dzimwewo nzvimbo dzinogara mvura. nyurududu .
nyobvo 	KD 		ny 		nyobvo KD ny . nopfo .
nyodzvi 	DK 		ny 		nyodzvi DK ny . Kuti nyodzvi kunyura kwechinhu mumvura chisingazoonekwi zvakare.
nyofo 	DK 		ny 		nyofo DK ny . Kuti nyofo kupinza danda mumwena, kuitira kuti chinenge chapindamo chibude. Kuti nyofo kupinza minwe muchinhu chinenge keke kana chingwa, uchibvarura kana kumedura chipisi.
pibvu 	DK 		ny 		pibvu DK ny . Kuti pibvu kukava munhu mukobvu zvakasimba, panyama dzake dzakarembera.
pidi-igu nyonde 	KKD DD 		ny 		pidi-igu nyonde KKD DD ny . Kana motokari ichiti pidi-igu nyonde inenge ichikunguruka nokakasika, mushure mokubheuka, yakananga mberi ichindorovera.
rugudu 	KKD 		ny 		rugudu KKD ny . Kuti rugudu kuvhunika nokuwira pasi nokukasika kwechinenge chavhunika. Kuti rugudu kupera simba, mushure mokunge waita basa kana kuti wafamba zvikuru. Kuti rugudu kupesana kwamabhonzo, sezvingaita kana waresva kuwira pasi. rudugu .
penengu 	KKD 		ny 		penengu KKD ny . Kuti penengu kuvhura chinhu nekukasika.
penzu 	KD 		ny 		penzu KD ny . Kana uchiti penzu unenge uchipedza dambudziko ranga richikunetsa.
pepere pepere 	KDD+ 		ny 		pepere pepere KDD+ ny . Kuti pepere pepere kutamba-tamba kunoita bepa kana jira rinenge richivhuvhutwa nemhepo.
pigida pigida 	KKD+ 		ny 		pigida pigida KKD+ ny . Kuti pigida pigida kufamba uchiita nhanho diki, zvine mutsindo mukati.
pigidi 	DDK 		ny 		pigidi DDK ny . Kuti pigidi kuwedzera zvinhu noruoko zvobva zvawandisa, sezvinoitika pakurunga munyu kana kuzora mafuta.
pigidu 	KKD 		ny 		pigidu KKD ny . Kuti pidigu kuchera nokubvisa zvinhu zvinenge zviri muvhu, zvakaita sematombo nembambaira.
ravi 	D- 		ny 		ravi D- ny . Kuti ravi kunanzva chekudya kana zvimwewo, uchida kunzwa kuti zvasvika papi pakuibva.
razva 	KD 		ny 		razva KD ny . Kuti razva kuzviona sokunge ndiwe woga shasha pana vamwe vose.
pepfu 	KD 		ny 		pepfu pipfu KD ny . Kuti pepfu kudya zvinhu zvinomudukira, kufanana nembambaira.
pimhiri 	K- 		ny 		pimhiri K- ny . Kuti pimhiri kudonha kunoita chinhu chakaita sebhonzo guru, richiwira pasi kana pachinhu chakanyorovera.
pindikiti 	D- 		ny 		pindikiti D- ny . Kuti pindikiti mumba kupinda mukati nokukasika, kana panguva yawanga usingatarisirwi nevanhu vanenge varimo.
pindirikiti 	D- 		ny 		pindirikiti D- ny . pindikiti .
pindu 	DK 		ny 		pindu DK ny . Kana uchiti pindu unenge uchichinja gwara rawanga uchifamba naro wotora rimwe, kana kuchinja pfungwa dzako maererano nezvawanga uchiita kana kuti zvavanga uchida kuita.
nzva 	D 		ny 		nzva dzva D ny . Kuti nzva kutakura demo kana imwe midziyo pamapipito.
nzvada nzvada 	KD+ 		ny 		nzvada nzvada KD+ ny . Kuti nzvada nzvada kufamba kwemunhu achizvida, achifambisa chiuno kuti aonererwe.
peya peya 	DK + 		ny 		peya peya DK + ny . Kuti peya peya kufamba makumbo asina simba, nokurwara kana nekuremerwa.
pfa pfa 	D- 		ny 		pfa pfa D- ny . Kuti pfa pfa kudira mvura uchiita kuburitsa kwenguva pfupi, yomwaika wovhara, wozovhura zvakare.
pfachara pfachara 	D- 		ny 		pfachara pfachara D- ny . Kuti pfachara pfachara kufamba munhu akapfeka hembe dzakabvaruka-bvaruka.
pfakanya 	DDK 		ny 		pfakanya pfakanyu DDK ny . Kuti pfakanya kufambisa muviri kunoratidza upenyu pamunhu, kana mhuka yanga ichifungidzirwa kuti yafa, kana kuti yakarara.
